VENDOR,P-NO,P-NAME,PO-NO,DUE,PLACE,PRICE,QTY,RCV,REMAIN,LAST_RCV,EX-LOT,ISSUE,STS,DOC_NO,UNIT WEIGHT,DUE-TIME,PRIVILEDGE
TRT,14073-1843,DUCT-CARBURETOR,H47153,1/14/2019,RSP,45.87,5,0,0,00/00/0000,RY26808,11/26/2018,S,1811-H1213,0,08:00-09:00,NON FREEZONE
TRT,14073-1854,DUCT,H47154,1/14/2019,RSP,28.52,20,0,0,00/00/0000,RY26808,11/26/2018,S,1811-H1213,0,08:00-09:00,NON FREEZONE
TRT,52010-1053  KMT,ELEMENT-OIL-FILTER,H47649,1/16/2019,RSP,34.55,790,0,0,00/00/0000,RY26810,11/26/2018,S,1811-H1295,0.0375,08:00-09:00,NON FREEZONE
TRT,11013-0020,ELEMENT-AIR FILTER,H47860,1/17/2019,RSP,22.5,985,0,0,00/00/0000,RY26811,11/26/2018,S,1811-H1333,0.048,08:00-09:00,NON FREEZONE
TRT,92093-1560,SEAL,H48199,1/18/2019,RSP,5.75,20,0,0,00/00/0000,RY26812,11/26/2018,S,1811-H1383,0,08:00-09:00,NON FREEZONE
TRT,11013-0020,ELEMENT-AIR FILTER,H48283,1/19/2019,RSP,22.5,1000,0,0,00/00/0000,RY26813,11/26/2018,S,1811-H1403,0.048,08:00-09:00,NON FREEZONE
TRT,92192-0921,TUBE,H48284,1/19/2019,RSP,2.25,10,0,0,00/00/0000,RY26813,11/26/2018,S,1811-H1403,0.004,08:00-09:00,NON FREEZONE
TRT,11010-0181,FILTER-ASSY-AIR,RE7324,12/20/2018,G1B,535.52,40,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.746,08:00-09:00,FREEZONE
TRT,11010-0181,FILTER-ASSY-AIR,RE7325,12/22/2018,G1B,535.52,40,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.746,08:00-09:00,FREEZONE
TRT,11010-0181,FILTER-ASSY-AIR,RE7326,12/26/2018,G1B,535.52,40,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.746,08:00-09:00,FREEZONE
TRT,11010-0181,FILTER-ASSY-AIR,RE7327,12/28/2018,G1B,535.52,40,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.746,08:00-09:00,FREEZONE
TRT,11010-0939,FILTER-ASSY-AIR,RE7383,12/20/2018,G1B,0,50,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.2,08:00-09:00,FREEZONE
TRT,11010-0939,FILTER-ASSY-AIR,RE7384,12/21/2018,G1B,0,50,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.2,08:00-09:00,FREEZONE
TRT,11010-0939,FILTER-ASSY-AIR,RE7385,12/22/2018,G1B,0,50,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.2,08:00-09:00,FREEZONE
TRT,11010-0939,FILTER-ASSY-AIR,RE7386,12/24/2018,G1B,0,50,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.2,08:00-09:00,FREEZONE
TRT,11010-0939,FILTER-ASSY-AIR,RE7387,12/25/2018,G1B,0,50,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.2,08:00-09:00,FREEZONE
TRT,11010-0939,FILTER-ASSY-AIR,RE7388,12/26/2018,G1B,0,50,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.2,08:00-09:00,FREEZONE
TRT,11010-0939,FILTER-ASSY-AIR,RE7389,12/28/2018,G1B,0,50,0,0,00/00/0000,,11/29/2018,P,1901-R0941,1.2,08:00-09:00,FREEZONE
TRT,11010-1773  KMT,FILTER-ASSY-AIR,RE7390,12/18/2018,G1B,181.23,100,0,0,00/00/0000,,11/29/2018,P,1901-R0941,0.152,08:00-09:00,FREEZONE
TRT,11010-1773  KMT,FILTER-ASSY-AIR,RE7391,12/25/2018,G1B,181.23,100,0,0,00/00/0000,,11/29/2018,P,1901-R0941,0.152,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,RF4552,12/17/2018,G1S,127.43,300,0,0,00/00/0000,,11/29/2018,P,1901-R0941,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,RF4553,12/18/2018,G1S,127.43,360,0,0,00/00/0000,,11/29/2018,P,1901-R0941,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,RF4554,12/19/2018,G1S,127.43,270,0,0,00/00/0000,,11/29/2018,P,1901-R0941,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,RF4555,12/20/2018,G1S,127.43,270,0,0,00/00/0000,,11/29/2018,P,1901-R0941,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,RF4556,12/21/2018,G1S,127.43,270,0,0,00/00/0000,,11/29/2018,P,1901-R0941,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,RF4557,12/22/2018,G1S,127.43,300,0,0,00/00/0000,,11/29/2018,P,1901-R0941,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,RF4558,12/24/2018,G1S,127.43,330,0,0,00/00/0000,,11/29/2018,P,1901-R0941,0.236,08:00-09:00,FREEZONE
